CustomerID,CompanyName,ContactName,ContactTitle,CustomerType,Address,City,Lat,Lng,PostalCode,Country,Phone
ALFKI,Alfreds Futterkiste,Maria Anders,Sales Representative,A,Obere Str. 57,Berlin,52.5167,13.3833,12209,Germany,030-0074321
MAISD,Maison Dewey,Catherine Dewey,Sales Agent,A,Rue Joseph-Bens 532,Brussels,50.8467,4.3517,B-1180,Belgium,(02) 201 24 67
COMMI,Comrcio Mineiro,Pedro Afonso,Sales Associate,C,Av. dos Lusadas. 23,SÆo Paulo,-23.5504,-46.6339,05432-043,Brazil,(11) 555-7647
AROUT,Around the Horn,Thomas Hardy,Sales Representative,C,120 Hanover Sq.,London,51.5072,-0.1275,WA1 1DP,United Kingdom,(171) 555-7788
FAMIA,Familia Arquibaldo,Aria Cruz,Marketing Assistant,A,Rua Ors. 92,SÆo Paulo,-23.5504,-46.6339,05442-030,Brazil,(11) 555-9857
BLAUS,Blauer See Delikatessen,Hanna Moos,Sales Representative,B,Forsterstr. 57,Mannheim,49.4878,8.4661,68306,Germany,0621-08460
BLONP,Blondesddsl pre et fils,Frdrique Citeaux,Marketing Manager,B,24. place Klber,Strasbourg,48.5833,7.7458,67000,France,88.60.15.31
BOLID,Blido Comidas preparadas,Martn Sommer,Owner,B,C/ Araquil. 67,Madrid,19.0833,-103.8667,28023,Spain,(91) 555 22 82
BONAP,Bon app',Laurence Lebihan,Owner,C,12. rue des Bouchers,Marseille,43.2964,5.37,13008,France,91.24.45.40
QUEEN,Queen Cozinha,Lcia Carvalho,Marketing Assistant,B,Alameda dos Canrios. 891,SÆo Paulo,-23.5504,-46.6339,05487-020,Brazil,(11) 555-1189
BSBEV,B's Beverages,Victoria Ashworth,Sales Representative,C,Fauntleroy Circus,London,51.5072,-0.1275,EC2 5NT,United Kingdom,(171) 555-1212
CACTU,Cactus Comidas para llevar,Patricio Simpson,Sales Agent,C,Cerrito 333,Buenos Aires,-34.5997,-58.3819,1010,Argentina,(1) 135-5555
CENTC,Centro comercial Moctezuma,Francisco Chang,Marketing Manager,A,Sierras de Granada 9993,Mexico City,19.4333,-99.1333,5022,Mexico,(5) 555-3392
CHOPS,Chop-suey Chinese,Yang Wang,Owner,B,Hauptstr. 29,Bern,46.948,7.4474,3012,Switzerland,0452-076545
TRADH,Tradio Hipermercados,Anabela Domingues,Sales Representative,A,Av. Ins de Castro. 414,SÆo Paulo,-23.5504,-46.6339,05634-030,Brazil,(11) 555-2167
CONSH,Consolidated Holdings,Elizabeth Brown,Sales Representative,A,Berkeley Gardens 12  Brewery,London,51.5072,-0.1275,WX1 6LT,United Kingdom,(171) 555-2282
DRACD,Drachenblut Delikatessen,Sven Ottlieb,Order Administrator,B,Walserweg 21,Aachen,50.7762,6.0838,52066,Germany,0241-039123
DUMON,Du monde entier,Janine Labrune,Owner,C,67. rue des Cinquante Otages,Nantes,47.2181,-1.5528,44000,France,40.67.88.88
EASTC,Eastern Connection,Ann Devon,Sales Agent,B,35 King George,London,51.5072,-0.1275,WX3 6FW,United Kingdom,(171) 555-0297
ERNSH,Ernst Handel,Roland Mendel,Sales Manager,B,Kirchgasse 6,Graz,47.0667,15.4333,8010,Austria,7675-3425
BOTTM,Bottom-Dollar Markets,Elizabeth Lincoln,Accounting Manager,A,23 Tsawassen Blvd.,Toronto,43.7417,-79.3733,T2F 8M4,Canada,(604) 555-4729
FISSA,FISSA Fabrica Inter. Salchichas S.A.,Diego Roel,Accounting Manager,A,C/ Moralzarzal. 86,Madrid,19.0833,-103.8667,28034,Spain,(91) 555 94 44
FOLIG,Folies gourmandes,Martine Ranc,Assistant Sales Agent,A,184. chausse de Tournai,Lille,50.6278,3.0583,59000,France,20.16.10.16
MEREP,Mre Paillarde,Jean Fresnire,Marketing Assistant,B,43 rue St. Laurent,Montr‚al,45.5089,-73.5617,H1J 1C3,Canada,(514) 555-8054
FRANK,Frankenversand,Peter Franken,Marketing Manager,C,Berliner Platz 43,Munich,48.1372,11.5755,80805,Germany,089-0877310
FRANR,France restauration,Carine Schmitt,Marketing Manager,B,54. rue Royale,Nantes,47.2181,-1.5528,44000,France,40.32.21.21
VAFFE,Vaffeljernet,Palle Ibsen,Sales Manager,A,Smagsloget 45,Aarhus,56.1572,10.2107,8200,Denmark,86 21 32 43
LEHMS,Lehmanns Marktstand,Renate Messner,Sales Representative,C,Magazinweg 7,Frankfurt,50.1136,8.6797,60528,Germany,069-0245984
GALED,Galera del gastrnomo,Eduardo Saavedra,Marketing Manager,B,Rambla de Catalua. 23,Barcelona,41.3825,2.1769,8022,Spain,(93) 203 4560
GODOS,Godos Cocina Tpica,Jos Pedro Freyre,Sales Manager,C,C/ Romero. 33,Sevilla,37.3828,-5.9731,41101,Spain,(95) 555 82 82
GOURL,Gourmet Lanchonetes,Andr Fonseca,Sales Associate,B,Av. Brasil. 442,Campinas,-22.9009,-47.0573,04876-786,Brazil,(11) 555-9482
GREAL,Great Lakes Food Market,Howard Snyder,Marketing Manager,B,2732 Baker Blvd.,Eugene,44.0563,-123.1173,97403,United States,(503) 555-7555
GROSR,GROSELLA-Restaurante,Manuel Pereira,Owner,B,5 Ave. Los Palos Grandes,Caracas,10.5,-66.9333,1081,Venezuela,(2) 283-2951
HANAR,Hanari Carnes,Mario Pontes,Accounting Manager,A,Rua do Pao. 67,Rio de Janeiro,-22.9083,-43.1964,05454-876,Brazil,(21) 555-0091
OTTIK,Ottilies Kseladen,Henriette Pfalzheim,Owner,A,Mehrheimerstr. 369,K”nnern,51.6697,11.7708,50739,Germany,0221-0644327
HUNGC,Hungry Coyote Import Store,Yoshi Latimer,Sales Representative,C,City Center Plaza 516 Main St.,Elgin,42.0385,-88.3229,97827,United States,(503) 555-6874
HUNGO,Hungry Owl All-Night Grocers,Patricia McKenna,Sales Associate,B,8 Johnstown Road,Cork,51.9,-8.4731,,Ireland,2967 542
ISLAT,Island Trading,Helen Bennett,Marketing Manager,A,Garden House Crowther Way,Cowes,50.7595,-1.3002,PO31 7PJ,United Kingdom,(198) 555-8888
KOENE,Kniglich Essen,Philip Cramer,Sales Associate,C,Maubelstr. 90,Brandenburg,52.4117,12.5561,14776,Germany,0555-09876
