CustomerID;CompanyName;ContactName;ContactTitle;CustomerType;Address;City;Lat;Lng;PostalCode;Country;Phone
ALFKI;Alfreds Futterkiste;Maria Anders;Sales Representative;A;Obere Str. 57;Berlin;#REFERENCE!;#REFERENCE!;12209;Germany;030-0074321
MAISD;Maison Dewey;Catherine Dewey;Sales Agent;A;Rue Joseph-Bens 532;Brussels;#REFERENCE!;#REFERENCE!;B-1180;Belgium;(02) 201 24 67
COMMI;Comrcio Mineiro;Pedro Afonso;Sales Associate;C;Av. dos Lusadas, 23;SÆo Paulo;#REFERENCE!;#REFERENCE!;05432-043;Brazil;(11) 555-7647
AROUT;Around the Horn;Thomas Hardy;Sales Representative;C;120 Hanover Sq.;London;#REFERENCE!;#REFERENCE!;WA1 1DP;United Kingdom;(171) 555-7788
FAMIA;Familia Arquibaldo;Aria Cruz;Marketing Assistant;A;Rua Ors, 92;SÆo Paulo;#REFERENCE!;#REFERENCE!;05442-030;Brazil;(11) 555-9857
BLAUS;Blauer See Delikatessen;Hanna Moos;Sales Representative;B;Forsterstr. 57;Mannheim;#REFERENCE!;#REFERENCE!;68306;Germany;0621-08460
BLONP;Blondesddsl pre et fils;Frdrique Citeaux;Marketing Manager;B;24, place Klber;Strasbourg;#REFERENCE!;#REFERENCE!;67000;France;88.60.15.31
BOLID;Blido Comidas preparadas;Martn Sommer;Owner;B;C/ Araquil, 67;Madrid;#REFERENCE!;#REFERENCE!;28023;Spain;(91) 555 22 82
BONAP;Bon app';Laurence Lebihan;Owner;C;12, rue des Bouchers;Marseille;#REFERENCE!;#REFERENCE!;13008;France;91.24.45.40
QUEEN;Queen Cozinha;Lcia Carvalho;Marketing Assistant;B;Alameda dos Canrios, 891;SÆo Paulo;#REFERENCE!;#REFERENCE!;05487-020;Brazil;(11) 555-1189
BSBEV;B's Beverages;Victoria Ashworth;Sales Representative;C;Fauntleroy Circus;London;#REFERENCE!;#REFERENCE!;EC2 5NT;United Kingdom;(171) 555-1212
CACTU;Cactus Comidas para llevar;Patricio Simpson;Sales Agent;C;Cerrito 333;Buenos Aires;#REFERENCE!;#REFERENCE!;1010;Argentina;(1) 135-5555
CENTC;Centro comercial Moctezuma;Francisco Chang;Marketing Manager;A;Sierras de Granada 9993;Mexico City;#REFERENCE!;#REFERENCE!;5022;Mexico;(5) 555-3392
CHOPS;Chop-suey Chinese;Yang Wang;Owner;B;Hauptstr. 29;Bern;#REFERENCE!;#REFERENCE!;3012;Switzerland;0452-076545
TRADH;Tradio Hipermercados;Anabela Domingues;Sales Representative;A;Av. Ins de Castro, 414;SÆo Paulo;#REFERENCE!;#REFERENCE!;05634-030;Brazil;(11) 555-2167
CONSH;Consolidated Holdings;Elizabeth Brown;Sales Representative;A;Berkeley Gardens 12  Brewery;London;#REFERENCE!;#REFERENCE!;WX1 6LT;United Kingdom;(171) 555-2282
DRACD;Drachenblut Delikatessen;Sven Ottlieb;Order Administrator;B;Walserweg 21;Aachen;#REFERENCE!;#REFERENCE!;52066;Germany;0241-039123
DUMON;Du monde entier;Janine Labrune;Owner;C;67, rue des Cinquante Otages;Nantes;#REFERENCE!;#REFERENCE!;44000;France;40.67.88.88
EASTC;Eastern Connection;Ann Devon;Sales Agent;B;35 King George;London;#REFERENCE!;#REFERENCE!;WX3 6FW;United Kingdom;(171) 555-0297
ERNSH;Ernst Handel;Roland Mendel;Sales Manager;B;Kirchgasse 6;Graz;#REFERENCE!;#REFERENCE!;8010;Austria;7675-3425
BOTTM;Bottom-Dollar Markets;Elizabeth Lincoln;Accounting Manager;A;23 Tsawassen Blvd.;Toronto;#REFERENCE!;#REFERENCE!;T2F 8M4;Canada;(604) 555-4729
FISSA;FISSA Fabrica Inter. Salchichas S.A.;Diego Roel;Accounting Manager;A;C/ Moralzarzal, 86;Madrid;#REFERENCE!;#REFERENCE!;28034;Spain;(91) 555 94 44
FOLIG;Folies gourmandes;Martine Ranc;Assistant Sales Agent;A;184, chausse de Tournai;Lille;#REFERENCE!;#REFERENCE!;59000;France;20.16.10.16
MEREP;Mre Paillarde;Jean Fresnire;Marketing Assistant;B;43 rue St. Laurent;Montr‚al;#REFERENCE!;#REFERENCE!;H1J 1C3;Canada;(514) 555-8054
FRANK;Frankenversand;Peter Franken;Marketing Manager;C;Berliner Platz 43;Munich;#REFERENCE!;#REFERENCE!;80805;Germany;089-0877310
FRANR;France restauration;Carine Schmitt;Marketing Manager;B;54, rue Royale;Nantes;#REFERENCE!;#REFERENCE!;44000;France;40.32.21.21
VAFFE;Vaffeljernet;Palle Ibsen;Sales Manager;A;Smagsloget 45;Aarhus;#REFERENCE!;#REFERENCE!;8200;Denmark;86 21 32 43
LEHMS;Lehmanns Marktstand;Renate Messner;Sales Representative;C;Magazinweg 7;Frankfurt;#REFERENCE!;#REFERENCE!;60528;Germany;069-0245984
GALED;Galera del gastrnomo;Eduardo Saavedra;Marketing Manager;B;Rambla de Catalua, 23;Barcelona;#REFERENCE!;#REFERENCE!;8022;Spain;(93) 203 4560
GODOS;Godos Cocina Tpica;Jos Pedro Freyre;Sales Manager;C;C/ Romero, 33;Sevilla;#REFERENCE!;#REFERENCE!;41101;Spain;(95) 555 82 82
GOURL;Gourmet Lanchonetes;Andr Fonseca;Sales Associate;B;Av. Brasil, 442;Campinas;#REFERENCE!;#REFERENCE!;04876-786;Brazil;(11) 555-9482
GREAL;Great Lakes Food Market;Howard Snyder;Marketing Manager;B;2732 Baker Blvd.;Eugene;#REFERENCE!;#REFERENCE!;97403;United States;(503) 555-7555
GROSR;GROSELLA-Restaurante;Manuel Pereira;Owner;B;5 Ave. Los Palos Grandes;Caracas;#REFERENCE!;#REFERENCE!;1081;Venezuela;(2) 283-2951
HANAR;Hanari Carnes;Mario Pontes;Accounting Manager;A;Rua do Pao, 67;Rio de Janeiro;#REFERENCE!;#REFERENCE!;05454-876;Brazil;(21) 555-0091
OTTIK;Ottilies Kseladen;Henriette Pfalzheim;Owner;A;Mehrheimerstr. 369;K”nnern;#REFERENCE!;#REFERENCE!;50739;Germany;0221-0644327
HUNGC;Hungry Coyote Import Store;Yoshi Latimer;Sales Representative;C;City Center Plaza 516 Main St.;Elgin;#REFERENCE!;#REFERENCE!;97827;United States;(503) 555-6874
HUNGO;Hungry Owl All-Night Grocers;Patricia McKenna;Sales Associate;B;8 Johnstown Road;Cork;#REFERENCE!;#REFERENCE!;;Ireland;2967 542
ISLAT;Island Trading;Helen Bennett;Marketing Manager;A;Garden House Crowther Way;Cowes;#REFERENCE!;#REFERENCE!;PO31 7PJ;United Kingdom;(198) 555-8888
KOENE;Kniglich Essen;Philip Cramer;Sales Associate;C;Maubelstr. 90;Brandenburg;#REFERENCE!;#REFERENCE!;14776;Germany;0555-09876
LACOR;La corne d'abondance;Daniel Tonini;Sales Representative;A;67, avenue de l'Europe;Versailles;#REFERENCE!;#REFERENCE!;78000;France;30.59.84.10
LAMAI;La maison d'Asie;Annette Roulet;Sales Manager;C;1 rue Alsace-Lorraine;Toulouse;#REFERENCE!;#REFERENCE!;31000;France;61.77.61.10
LAUGB;Laughing Bacchus Wine Cellars;Yoshi Tannamuri;Marketing Assistant;C;1900 Oak St.;Vancouver;#REFERENCE!;#REFERENCE!;V3F 2K1;Canada;(604) 555-3392
LAZYK;Lazy K Kountry Store;John Steel;Marketing Manager;A;12 Orchestra Terrace;Walla Walla;#REFERENCE!;#REFERENCE!;99362;United States;(509) 555-7969
QUICK;QUICK-Stop;Horst Kloss;Accounting Manager;C;Taucherstrae 10;Cologne;#REFERENCE!;#REFERENCE!;1307;Germany;0372-035188
LETSS;Let's Stop N Shop;Jaime Yorres;Owner;B;87 Polk St. Suite 5;San Francisco;#REFERENCE!;#REFERENCE!;94117;United States;(415) 555-5938
LILAS;LILA-Supermercado;Carlos Gonzlez;Accounting Manager;A;Carrera 52 con Ave. Bolvar #65-98 Llano Largo;Barquisimeto;#REFERENCE!;#REFERENCE!;3508;Venezuela;(9) 331-6954
TOMSP;Toms Spezialitten;Karin Josephs;Marketing Manager;C;Luisenstr. 48;Cologne;#REFERENCE!;#REFERENCE!;44087;Germany;0251-031259
LONEP;Lonesome Pine Restaurant;Fran Wilson;Sales Manager;C;89 Chiaroscuro Rd.;Portland;#REFERENCE!;#REFERENCE!;97219;United States;(503) 555-9573
MAGAA;Magazzini Alimentari Riuniti;Giovanni Rovelli;Marketing Manager;A;Via Ludovico il Moro 22;Bergamo;#REFERENCE!;#REFERENCE!;24100;Italy;035-640230
